region,sales,product
New York,130,Wireless Earbuds
Los Angeles,240,Smart Speaker
Chicago,70,Bluetooth Keyboard
Houston,280,Smartwatch
Phoenix,110,Tablet Stand
Philadelphia,160,Wireless Mouse
San Antonio,80,USB-C Hub
San Diego,260,External Hard Drive
Dallas,65,Noise-Canceling Headphones
San Jose,390,Smart Thermostat
Austin,120,Robot Vacuum
Jacksonville,140,Air Purifier
Fort Worth,210,Smart Light Bulbs
Columbus,85,Wireless Charger
Charlotte,150,Home Security Camera
San Francisco,250,Bluetooth Speaker
Indianapolis,75,Portable Monitor
Seattle,130,Smart Plug
Denver,180,Streaming Device
Washington,220,Wireless Router
Boston,90,Smart Doorbell
El Paso,160,Desk Lamp
Nashville,50,Printer
Detroit,200,Smart Scale
Portland,140,Wireless Keyboard
Las Vegas,170,Smart Display
Memphis,80,Power Bank
Louisville,110,Bluetooth Adapter
Baltimore,190,Smart Lock
Milwaukee,100,Webcam
